FECHA (YYMMDD);HORA (HHMM);;
200219;0200;157,099;
200219;0300;150,941;
200219;0400;148,445;
200219;0500;154,894;
200219;0600;141,389;
200219;0700;141,843;
200219;0800;140,532;
200219;0900;159,27;
200219;1000;150,365;
200219;1100;142,378;
200219;1200;146,364;
200219;1300;141,325;
200219;1400;129,704;
200219;1500;125,702;
200219;1600;126,427;
200219;1700;142,878;
200219;1800;146,02;
200219;1900;157,802;
200219;2000;181,859;
200219;2100;184,829;
200219;2200;174,046;
200219;2300;164,821;
200220;0000;164,955;
200220;0100;168,861;
200220;0200;158,453;
200220;0300;145,693;
200220;0400;152,162;
200220;0500;147,159;
200220;0600;122,571;
200220;0700;119,252;
200220;0800;119,869;
200220;0900;133,282;
200220;1000;13,8633;
200220;1100;84,1229;
200220;1200;138,85;
200220;1300;5,67315;
200220;1400;130,755;
200220;1500;75,9261;
200220;1600;316,558;
200220;1700;274,727;
200220;1800;263,414;
200220;1900;251,983;
200220;2000;246,97;
200220;2100;51,9186;
200220;2200;127,859;
200220;2300;319,953;
200221;0000;115,245;
200221;0100;83,7389;
200221;0200;105,62;
200221;0300;165,355;
200221;0400;152,767;
200221;0500;335,475;
200221;0600;319,547;
200221;0700;161,275;
200221;0800;308,424;
200221;0900;320,079;
200221;1000;328,366;
200221;1100;313,849;
200221;1200;321,131;
200221;1300;298,699;
200221;1400;277,406;
200221;1500;262,018;
200221;1600;270,598;
200221;1700;257,383;
200221;1800;237,938;
200221;1900;211,097;
200221;2000;213,489;
200221;2100;213,366;
200221;2200;159,857;
200221;2300;206,055;
200222;0000;187,876;
200222;0100;187,011;
200222;0200;201,601;
200222;0300;229,849;
200222;0400;4,28616;
200222;0500;47,4997;
200222;0600;127,268;
200222;0700;172,84;
200222;0800;311,391;
