FECHA (YYMMDD);HORA (HHMM);;
200217;0900;55,1633;
200217;1000;49,09;
200217;1100;46,05;
200217;1200;42,1217;
200217;1300;40,2892;
200217;1400;37,0811;
200217;1500;34,6567;
200217;1600;30,4742;
200217;1700;28,8858;
200217;1800;29,2767;
200217;1900;32,8067;
200217;2000;37,1375;
200217;2100;39,3842;
200217;2200;40,7067;
200217;2300;42,3908;
200218;0000;42,9267;
200218;0100;44,7908;
200218;0200;48,7942;
200218;0300;52,1158;
200218;0400;55,4083;
200218;0500;60,6375;
200218;0600;65,5442;
200218;0700;60,9667;
200218;0800;56,6483;
200218;0900;52,3292;
200218;1000;46,1333;
200218;1100;39,7817;
200218;1200;33,4617;
200218;1300;28,7992;
200218;1400;26,3458;
200218;1500;24,26;
200218;1600;23,0258;
200218;1700;22,2933;
200218;1800;23,8083;
200218;1900;28,53;
200218;2000;36,2117;
